sides,radius_m,rotation_deg,scan_origin,route_length_m,measure_count,switch_count,estimated_base_time_s,analytic_max_distance_m,numerical_max_distance_m,coverage_ratio,worst_x,worst_y,achieved_margin_m,valid
7,750.0,15.0,False,4654.953652058023,140,133,1763.9907304116045,1170.4204614853024,1168.5377673843188,0.900098251129888,-1740.0,-460.0,-170.42046148530244,False
7,750.0,15.0,True,4654.953652058023,160,152,1882.9907304116045,,1168.5377673843188,0.900098251129888,-1740.0,-460.0,-182.67990300804968,False
7,750.0,22.5,False,4654.953652058023,140,133,1763.9907304116045,1170.4204614853024,1168.7271462689027,0.8990371389270977,1200.0,1340.0,-170.42046148530244,False
7,750.0,22.5,True,4654.953652058023,160,152,1882.9907304116045,,1168.7271462689027,0.8990371389270977,1200.0,1340.0,-182.86928189263358,False
7,800.0,0.0,False,4965.283895528558,140,133,1826.0567791057115,1133.6708783597792,1133.670878359779,0.9479662016113185,-1800.0,0.0,-133.67087835977918,False
7,800.0,0.0,True,4965.283895528558,160,152,1945.0567791057115,,1133.670878359779,0.9479662016113185,-1800.0,0.0,-147.8130139835098,False
7,800.0,7.5,False,4965.283895528558,140,133,1826.0567791057115,1133.6708783597792,1128.2463151041327,0.9483985065828257,-1780.0,-240.0,-133.67087835977918,False
7,800.0,7.5,True,4965.283895528558,160,152,1945.0567791057115,,1128.2463151041327,0.9483985065828257,-1780.0,-240.0,-142.38845072786353,False
7,800.0,15.0,False,4965.283895528558,140,133,1826.0567791057115,1133.6708783597792,1131.6209088694104,0.9487915111023777,-1740.0,-460.0,-133.67087835977918,False
7,800.0,15.0,True,4965.283895528558,160,152,1945.0567791057115,,1131.6209088694104,0.9487915111023777,-1740.0,-460.0,-145.76304449314125,False
7,800.0,22.5,False,4965.283895528558,140,133,1826.0567791057115,1133.6708783597792,1131.935518741053,0.9480448025152289,1200.0,1340.0,-133.67087835977918,False
7,800.0,22.5,True,4965.283895528558,160,152,1945.0567791057115,,1131.935518741053,0.9480448025152289,1200.0,1340.0,-146.07765436478394,False
7,850.0,0.0,False,5275.614138999093,140,133,1888.1228277998184,1097.968699106945,1097.9686991069452,0.9774415405777166,-1800.0,0.0,-97.968699106945,False
7,850.0,0.0,True,5275.614138999093,160,152,2007.1228277998184,,1097.9686991069452,0.9774415405777166,-1800.0,0.0,-112.11083473067606,False
7,850.0,7.5,False,5275.614138999093,140,133,1888.1228277998184,1097.968699106945,1092.4163500093186,0.9774808410296718,-1780.0,-240.0,-97.968699106945,False
7,850.0,7.5,True,5275.614138999093,160,152,2007.1228277998184,,1092.4163500093186,0.9774808410296718,-1780.0,-240.0,-106.55848563304949,False
7,850.0,15.0,False,5275.614138999093,140,133,1888.1228277998184,1097.968699106945,1095.742327820429,0.9772843387698958,-1740.0,-460.0,-97.968699106945,False
7,850.0,15.0,True,5275.614138999093,160,152,2007.1228277998184,,1095.742327820429,0.9772843387698958,-1740.0,-460.0,-109.88446344415979,False
7,850.0,22.5,False,5275.614138999093,140,133,1888.1228277998184,1097.968699106945,1096.1901727115146,0.9773236392218511,1200.0,1340.0,-97.968699106945,False
7,850.0,22.5,True,5275.614138999093,160,152,2007.1228277998184,,1096.1901727115146,0.9773236392218511,1200.0,1340.0,-110.33230833524544,False
7,900.0,0.0,False,5585.944382469627,140,133,1950.1888764939254,1063.4194224275584,1063.4194224275584,0.9915897032815877,-1800.0,0.0,-63.4194224275584,False
7,900.0,0.0,True,5585.944382469627,160,152,2069.1888764939254,,1063.4194224275584,0.9915897032815877,-1800.0,0.0,-77.56155805128924,False
7,900.0,7.5,False,5585.944382469627,140,133,1950.1888764939254,1063.4194224275584,1057.7368368310288,0.9918648064452741,-1780.0,-240.0,-63.4194224275584,False
7,900.0,7.5,True,5585.944382469627,160,152,2069.1888764939254,,1057.7368368310288,0.9918648064452741,-1780.0,-240.0,-71.8789724547596,False
7,900.0,15.0,False,5585.944382469627,140,133,1950.1888764939254,1063.4194224275584,1061.0073593355676,0.9916683041854981,-1740.0,-460.0,-63.4194224275584,False
