source_x_m,source_y_m,source_posterior_weight,conditional_detection_probability,bearing_error_deg,second_bearing_deg,polygon_diameter_m,integration_weight
80.000000,80.000000,0.010459646472,1.000000000000,0.000000,350.417055276,94.263997369,0.003486548824
80.000000,80.000000,0.010459646472,1.000000000000,1.000000,351.417055276,98.383316957,0.003486548824
60.000000,100.000000,0.010653462661,1.000000000000,-1.000000,350.656108416,95.222502943,0.003551154220
60.000000,100.000000,0.010653462661,1.000000000000,0.000000,351.656108416,99.412172751,0.003551154220
60.000000,100.000000,0.010653462661,1.000000000000,1.000000,352.656108416,103.914645906,0.003551154220
80.000000,100.000000,0.010160958536,1.000000000000,-1.000000,350.869897646,96.093425057,0.003386986179
80.000000,100.000000,0.010160958536,1.000000000000,0.000000,351.869897646,100.347410228,0.003386986179
80.000000,100.000000,0.010160958536,1.000000000000,1.000000,352.869897646,104.920875955,0.003386986179
100.000000,100.000000,0.009665705721,1.000000000000,-1.000000,351.073073317,96.933366438,0.003221901907
100.000000,100.000000,0.009665705721,1.000000000000,0.000000,352.073073317,101.249732523,0.003221901907
100.000000,100.000000,0.009665705721,1.000000000000,1.000000,353.073073317,105.892092556,0.003221901907
120.000000,100.000000,0.009167823400,1.000000000000,-1.000000,351.266401901,97.743909600,0.003055941133
120.000000,100.000000,0.009167823400,1.000000000000,0.000000,352.266401901,102.120801012,0.003055941133
120.000000,100.000000,0.009167823400,1.000000000000,1.000000,353.266401901,106.830040558,0.003055941133
80.000000,120.000000,0.009854938970,1.000000000000,-1.000000,352.333340109,102.425280202,0.003284979657
80.000000,120.000000,0.009854938970,1.000000000000,0.000000,353.333340109,107.157983097,0.003284979657
80.000000,120.000000,0.009854938970,1.000000000000,1.000000,354.333340109,112.261061659,0.003284979657
100.000000,120.000000,0.009364134334,1.000000000000,-1.000000,352.500653720,103.192904989,0.003121378111
100.000000,120.000000,0.009364134334,1.000000000000,0.000000,353.500653720,107.984958331,0.003121378111
100.000000,120.000000,0.009364134334,1.000000000000,1.000000,354.500653720,113.153840078,0.003121378111
120.000000,120.000000,0.008870595893,1.000000000000,-1.000000,352.659808254,103.931924553,0.002956865298
120.000000,120.000000,0.008870595893,1.000000000000,0.000000,353.659808254,108.781382295,0.002956865298
120.000000,120.000000,0.008870595893,1.000000000000,1.000000,354.659808254,114.013938824,0.002956865298
140.000000,120.000000,0.008374439100,1.000000000000,-1.000000,352.811384037,104.643884971,0.002791479700
140.000000,120.000000,0.008374439100,1.000000000000,0.000000,353.811384037,109.548890955,0.002791479700
140.000000,120.000000,0.008374439100,1.000000000000,1.000000,354.811384037,114.843090518,0.002791479700
120.000000,140.000000,0.008566282816,1.000000000000,-1.000000,354.060784458,110.831242975,0.002855427605
120.000000,140.000000,0.008566282816,1.000000000000,0.000000,355.060784458,116.229046672,0.002855427605
120.000000,140.000000,0.008566282816,1.000000000000,1.000000,356.060784458,122.071255791,0.002855427605
140.000000,140.000000,0.008074395854,1.000000000000,-1.000000,354.179233922,111.448933034,0.002691465285
140.000000,140.000000,0.008074395854,1.000000000000,0.000000,355.179233922,116.896913224,0.002691465285
140.000000,140.000000,0.008074395854,1.000000000000,1.000000,356.179233922,122.795032952,0.002691465285
160.000000,140.000000,0.007579903174,1.000000000000,-1.000000,354.292147756,112.043032413,0.002526634391
160.000000,140.000000,0.007579903174,1.000000000000,0.000000,355.292147756,117.539439037,0.002526634391
160.000000,140.000000,0.007579903174,1.000000000000,1.000000,356.292147756,123.491538594,0.002526634391
180.000000,140.000000,0.007082911117,1.000000000000,-1.000000,354.399904334,112.614857149,0.002360970372
180.000000,140.000000,0.007082911117,1.000000000000,0.000000,355.399904334,118.158028187,0.002360970372
180.000000,140.000000,0.007082911117,1.000000000000,1.000000,356.399904334,124.162272830,0.002360970372
160.000000,160.000000,0.007277177626,1.000000000000,-1.000000,355.633539337,119.517686871,0.002425725875
