phase,x_m,y_m,reachable,detection_probability,geometry_score,passes_coarse_screen,proxy_score,expected_log_diameter_gain,selected,in_excellent_region
coarse,150.000000,450.000000,True,0.968340548,0.520509023,True,0.504029992,4.607296509,False,False
coarse,300.000000,450.000000,True,0.934884721,0.339352116,False,0.317255109,,False,False
coarse,450.000000,450.000000,True,0.879738088,0.170097980,False,0.149641671,,False,False
coarse,600.000000,450.000000,True,0.796802964,0.040306193,False,0.032116094,,False,False
coarse,750.000000,450.000000,True,0.700919215,0.057289806,False,0.040155526,,False,False
coarse,900.000000,450.000000,True,0.572910906,0.133930749,False,0.076730387,,False,False
coarse,1050.000000,450.000000,True,0.448810783,0.196876124,False,0.088360127,,False,False
coarse,1200.000000,450.000000,True,0.331821395,0.249077127,False,0.082649120,,False,False
coarse,1350.000000,450.000000,True,0.227504832,0.293471034,False,0.066766078,,False,False
coarse,1500.000000,450.000000,True,0.125176336,0.331489027,False,0.041494582,,False,False
coarse,1650.000000,450.000000,True,0.038701218,0.371224818,False,0.014366853,,False,False
coarse,-1650.000000,600.000000,True,0.039586961,0.953404512,False,0.037742387,,False,False
coarse,-1500.000000,600.000000,True,0.132775303,0.941619429,False,0.125023805,,False,False
coarse,-1350.000000,600.000000,True,0.293377246,0.932593353,False,0.273601670,,False,False
coarse,-1200.000000,600.000000,True,0.529624584,0.921030519,False,0.487800406,,False,False
coarse,-1050.000000,600.000000,True,0.844399724,0.909867860,True,0.768292170,4.661807630,False,False
coarse,-900.000000,600.000000,True,0.997978678,0.922881306,True,0.921015866,5.616214319,False,False
coarse,-750.000000,600.000000,True,1.000000000,0.933727135,True,0.933727135,5.740827269,False,False
coarse,-600.000000,600.000000,True,1.000000000,0.933630472,True,0.933630472,5.811859804,False,False
